time,min_power,max_power
20200122:1310,85,356
20200122:1410,68,174
20200122:1510,0,5
20200122:1610,0,0
20200122:1710,0,0
20200122:1810,0,0
20200122:1910,0,0
20200122:2010,0,0
20200122:2110,0,0
20200122:2210,0,0
20200122:2310,0,0
20200123:0010,0,0
20200123:0110,0,0
20200123:0210,0,0
20200123:0310,0,0
20200123:0410,0,0
20200123:0510,0,0
20200123:0610,0,25
20200123:0710,44,230
20200123:0810,150,401
20200123:0910,196,607
20200123:1010,298,611
20200123:1110,163,680
20200123:1210,199,576
20200123:1310,85,356
20200123:1410,20,174
20200123:1510,0,13
20200123:1610,0,0
20200123:1710,0,0
20200123:1810,0,0
20200123:1910,0,0
20200123:2010,0,0
20200123:2110,0,0
20200123:2210,0,0
20200123:2310,0,0
20200124:0010,0,0
20200124:0110,0,0
20200124:0210,0,0
20200124:0310,0,0
20200124:0410,0,0
20200124:0510,0,0
20200124:0610,0,25
20200124:0710,44,230
20200124:0810,150,401
20200124:0910,196,607
20200124:1010,298,611
20200124:1110,163,680
20200124:1210,199,576
20200124:1310,85,366
20200124:1410,20,181
20200124:1510,0,13
20200124:1610,0,0
20200124:1710,0,0
20200124:1810,0,0
20200124:1910,0,0
20200124:2010,0,0
20200124:2110,0,0
20200124:2210,0,0
20200124:2310,0,0
20200125:0010,0,0
20200125:0110,0,0
20200125:0210,0,0
20200125:0310,0,0
20200125:0410,0,0
20200125:0510,0,0
20200125:0610,0,31
20200125:0710,44,230
20200125:0810,150,401
20200125:0910,196,607
20200125:1010,298,611
20200125:1110,163,680
20200125:1210,199,576
20200125:1310,85,366
20200125:1410,20,181
20200125:1510,0,23
20200125:1610,0,0
20200125:1710,0,0
20200125:1810,0,0
20200125:1910,0,0
20200125:2010,0,0
20200125:2110,0,0
20200125:2210,0,0
20200125:2310,0,0
20200126:0010,0,0
20200126:0110,0,0
20200126:0210,0,0
20200126:0310,0,0
20200126:0410,0,0
20200126:0510,0,0
20200126:0610,0,31
20200126:0710,44,230
20200126:0810,150,401
20200126:0910,196,607
20200126:1010,298,656
20200126:1110,163,680
20200126:1210,199,586
20200126:1310,85,396
20200126:1410,20,181
20200126:1510,0,25
20200126:1610,0,0
20200126:1710,0,0
20200126:1810,0,0
20200126:1910,0,0
20200126:2010,0,0
20200126:2110,0,0
20200126:2210,0,0
20200126:2310,0,0
20200127:0010,0,0
20200127:0110,0,0
20200127:0210,0,0
20200127:0310,0,0
20200127:0410,0,0
20200127:0510,0,0
20200127:0610,4,33
20200127:0710,44,230
20200127:0810,150,466
20200127:0910,196,607
20200127:1010,298,656
20200127:1110,163,680
20200127:1210,281,586
20200127:1310,85,396
20200127:1410,20,186
20200127:1510,0,27
20200127:1610,0,0
20200127:1710,0,0
20200127:1810,0,0
20200127:1910,0,0
20200127:2010,0,0
20200127:2110,0,0
20200127:2210,0,0
20200127:2310,0,0
20200128:0010,0,0
20200128:0110,0,0
20200128:0210,0,0
20200128:0310,0,0
20200128:0410,0,0
20200128:0510,0,0
20200128:0610,4,41
20200128:0710,44,238
20200128:0810,150,466
20200128:0910,196,607
20200128:1010,298,656
20200128:1110,163,680
20200128:1210,171,586
20200128:1310,85,429
20200128:1410,20,191
20200128:1510,0,27
20200128:1610,0,0
20200128:1710,0,0
20200128:1810,0,0
20200128:1910,0,0
20200128:2010,0,0
20200128:2110,0,0
20200128:2210,0,0
20200128:2310,0,0
20200129:0010,0,0
20200129:0110,0,0
20200129:0210,0,0
20200129:0310,0,0
20200129:0410,0,0
20200129:0510,0,0
20200129:0610,6,41
20200129:0710,44,238
20200129:0810,94,466
20200129:0910,196,607
20200129:1010,195,656
20200129:1110,163,680
20200129:1210,171,586
20200129:1310,100,429
20200129:1410,20,191
20200129:1510,0,27
20200129:1610,0,0
20200129:1710,0,0
20200129:1810,0,0
20200129:1910,0,0
20200129:2010,0,0
20200129:2110,0,0
20200129:2210,0,0
